name,origin,product_id,kind,alcohol_tolerance,flocculation,alpha,use,category,color,ppg
Acidulated Malt,Germany,,Acidulated malt (Grain),,,,,Fermentables,3.4,27
Acerola,,,Fruit,,,,,Fermentables,0,1.5
Abbey Malt,Germany,,Base malt (Grain),,,,,Fermentables,17,33
Ale Malt,Ireland,,Base malt (Grain),,,,,Fermentables,3,37
Amber,United Kingdom,,Base malt (Grain),,,,,Fermentables,27,32
Apple,,,Fruit,,,,,Fermentables,0,5.6
Apricot,,,Fruit,,,,,Fermentables,0,4.05
Apricot (dried),,,Fruit,,,,,Fermentables,0,17.9
Aromatic Malt,America,,Base malt (Grain),,,,,Fermentables,20,35
Ashbourne Mild,America,,Base malt (Grain),,,,,Fermentables,5.3,30
Bohemian Pilsner,Germany,,Base malt (Grain),,,,,Fermentables,1.9,38
Banana,,,Fruit,,,,,Fermentables,0,7.65
Belgian Candi Sugar - Amber/Brown (60L),,,Sugar,,,,,Fermentables,60,38
Belgian Candi Sugar - Clear/Blond (0L),,,Sugar,,,,,Fermentables,0,38
Belgian Candi Sugar - Dark (275L),,,Sugar,,,,,Fermentables,275,38
Belgian Candi Syrup - Amber (40L),,,Sugar,,,,,Fermentables,40,32
Belgian Candi Syrup - Clear (0L),,,Sugar,,,,,Fermentables,0,32
Belgian Candi Syrup - D-180,,,Sugar,,,,,Fermentables,180,32
Belgian Candi Syrup - D-45,,,Sugar,,,,,Fermentables,45,32
Belgian Candi Syrup - D-90,,,Sugar,,,,,Fermentables,90,32
Belgian Candi Syrup - D2 (160L),,,Sugar,,,,,Fermentables,160,32
Belgian Candi Syrup - Dark (80L),,,Sugar,,,,,Fermentables,80,32
Bonlander Munich,America,,Base malt (Grain),,,,,Fermentables,10,36
Dark Munich,Germany,,Base malt (Grain),,,,,Fermentables,10,36
Dark Wheat,Germany,,Base malt (Grain),,,,,Fermentables,6.5,39
Distillers Malt,Ireland,,Base malt (Grain),,,,,Fermentables,2,37
Enzyme Malt,Finland,,Base malt (Grain),,,,,Fermentables,0,35
Blackberry,,,Fruit,,,,,Fermentables,0,3.6
ESB Malt,Canadian,,Base malt (Grain),,,,,Fermentables,3.5,36
Blueberry,,,Fruit,,,,,Fermentables,0,4.95
Floor-Malted Bohemian Pilsner,Germany,,Base malt (Grain),,,,,Fermentables,1.8,38
Floor-Malted Bohemian Pilsner Dk,Germany,,Base malt (Grain),,,,,Fermentables,6.5,38
Boysenberry,,,Fruit,,,,,Fermentables,0,2.5
Floor-Malted Bohemian Wheat,Germany,,Base malt (Grain),,,,,Fermentables,2,38
Brown Rice Syrup - Gluten Free,,,Raw,,,,,Fermentables,2,44
Brown Sugar,,,Sugar,,,,,Fermentables,15,45
Golden Promise,United Kingdom,,Base malt (Grain),,,,,Fermentables,3,37
Cane Sugar,,,Sugar,,,,,Fermentables,0,46
Cantaloupe,,,Fruit,,,,,Fermentables,0,3.4
Halcyon,United Kingdom,,Base malt (Grain),,,,,Fermentables,2,36
Honey Malt,Canadian,,Base malt (Grain),,,,,Fermentables,25,37
Kölsch,Germany,,Base malt (Grain),,,,,Fermentables,4.4,37
Lager,United Kingdom,,Base malt (Grain),,,,,Fermentables,1.4,38
Lager Malt,Ireland,,Base malt (Grain),,,,,Fermentables,2,37
Malted Naked Oats,United Kingdom,,Base malt (Grain),,,,,Fermentables,1.3,33
Maris Otter Pale,United Kingdom,,Base malt (Grain),,,,,Fermentables,3.75,38
Mild,United Kingdom,,Base malt (Grain),,,,,Fermentables,3,37
Munich,Belgium,,Base malt (Grain),,,,,Fermentables,6,38
Munich,United Kingdom,,Base malt (Grain),,,,,Fermentables,6,37
Munich - 60L,America,,Base malt (Grain),,,,,Fermentables,60,33
Munich - Dark 20L,America,,Base malt (Grain),,,,,Fermentables,20,33
Munich - Light 10L,America,,Base malt (Grain),,,,,Fermentables,10,33
Munich Dark,Canadian,,Base malt (Grain),,,,,Fermentables,32,34
Munich Dark,Germany,,Base malt (Grain),,,,,Fermentables,15.5,37
Munich Light,Canadian,,Base malt (Grain),,,,,Fermentables,10,34
Munich Light,Germany,,Base malt (Grain),,,,,Fermentables,6,37
Munich Malt,Finland,,Base malt (Grain),,,,,Fermentables,7,36
Oat Malt,United Kingdom,,Base malt (Grain),,,,,Fermentables,2,28
Carambola,,,Fruit,,,,,Fermentables,0,1.95
Optic,United Kingdom,,Base malt (Grain),,,,,Fermentables,2.1,38
Organic Pilsner Malt,Finland,,Base malt (Grain),,,,,Fermentables,2,36
Pale 2-Row,America,,Base malt (Grain),,,,,Fermentables,1.8,37
Pale 2-Row,Canadian,,Base malt (Grain),,,,,Fermentables,1.75,36
Pale 2-Row,United Kingdom,,Base malt (Grain),,,,,Fermentables,2.5,38
Pale 2-Row - Toasted,America,,Base malt (Grain),,,,,Fermentables,30,33
Pale 6-Row,America,,Base malt (Grain),,,,,Fermentables,1.8,35
Pale Ale,America,,Base malt (Grain),,,,,Fermentables,3.5,37
Pale Ale,Belgium,,Base malt (Grain),,,,,Fermentables,3.4,38
Pale Ale,Germany,,Base malt (Grain),,,,,Fermentables,2.3,39
Pale Ale Malt,Finland,,Base malt (Grain),,,,,Fermentables,2,36
Pale Wheat,Canadian,,Base malt (Grain),,,,,Fermentables,2,36
Pale Wheat,Germany,,Base malt (Grain),,,,,Fermentables,1.5,39
Pearl,United Kingdom,,Base malt (Grain),,,,,Fermentables,2.1,37
Peated Malt,United Kingdom,,Base malt (Grain),,,,,Fermentables,2.5,38
Pilsen,United Kingdom,,Base malt (Grain),,,,,Fermentables,1.8,36
Pilsner,America,,Base malt (Grain),,,,,Fermentables,1.8,37
Pilsner,Belgium,,Base malt (Grain),,,,,Fermentables,1.6,37
Pilsner,Germany,,Base malt (Grain),,,,,Fermentables,1.6,38
Pilsner Malt,Finland,,Base malt (Grain),,,,,Fermentables,2,37
Red Wheat,America,,Base malt (Grain),,,,,Fermentables,2.5,38
Red X,Germany,,Base malt (Grain),,,,,Fermentables,12,36
Rye,America,,Base malt (Grain),,,,,Fermentables,3.5,38
Rye,Germany,,Base malt (Grain),,,,,Fermentables,3.5,38
Carrot,,,Fruit,,,,,Fermentables,0,2
Casaba Melon,,,Fruit,,,,,Fermentables,0,1.9
Cashew,,,Fruit,,,,,Fermentables,0,3
Celery,,,Fruit,,,,,Fermentables,0,0.75
